c[0]=0, mask=4294967295
c[32]=1, mask=4294967295
c[64]=8, mask=4294967295
c[96]=0, mask=4294967295
c[128]=0, mask=4294967295
c[160]=0, mask=4294967295
c[192]=0, mask=4294967295
c[224]=0, mask=4294967295
c[256]=0, mask=4294967295
c[288]=0, mask=4294967295
c[320]=0, mask=4294967295
c[352]=0, mask=4294967295
c[384]=0, mask=4294967295
c[416]=0, mask=7
c[1]=0, mask=4294967295
c[33]=0, mask=4294967295
c[65]=1, mask=4294967295
c[97]=0, mask=4294967295
c[129]=0, mask=4294967295
c[161]=0, mask=4294967295
c[193]=0, mask=4294967295
c[225]=1, mask=4294967295
c[257]=0, mask=4294967295
c[289]=0, mask=4294967295
c[321]=0, mask=4294967295
c[353]=0, mask=4294967295
c[385]=0, mask=4294967295
c[417]=0, mask=7
c[2]=0, mask=4294967295
c[34]=0, mask=4294967295
c[66]=0, mask=4294967295
c[98]=0, mask=4294967295
c[130]=0, mask=4294967295
c[162]=0, mask=4294967295
c[194]=0, mask=4294967295
c[226]=1, mask=4294967295
c[258]=0, mask=4294967295
c[290]=0, mask=4294967295
c[322]=0, mask=4294967295
c[354]=0, mask=4294967295
c[386]=0, mask=4294967295
c[418]=0, mask=7
c[3]=0, mask=4294967295
c[35]=0, mask=4294967295
c[67]=0, mask=4294967295
c[99]=0, mask=4294967295
c[131]=0, mask=4294967295
c[163]=0, mask=4294967295
c[195]=0, mask=4294967295
c[227]=1, mask=4294967295
c[259]=0, mask=4294967295
c[291]=0, mask=4294967295
c[323]=0, mask=4294967295
c[355]=0, mask=4294967295
c[387]=0, mask=4294967295
c[4]=0, mask=4294967295
c[36]=0, mask=4294967295
c[68]=0, mask=4294967295
c[100]=0, mask=4294967295
c[132]=0, mask=4294967295
c[164]=0, mask=4294967295
c[196]=0, mask=4294967295
c[228]=1, mask=4294967295
c[260]=0, mask=4294967295
c[292]=0, mask=4294967295
c[324]=0, mask=4294967295
c[356]=0, mask=4294967295
c[388]=0, mask=4294967295
c[5]=0, mask=4294967295
c[37]=0, mask=4294967295
c[69]=0, mask=4294967295
c[101]=0, mask=4294967295
c[133]=0, mask=4294967295
c[165]=0, mask=4294967295
c[197]=0, mask=4294967295
c[229]=2, mask=4294967295
c[261]=0, mask=4294967295
c[293]=0, mask=4294967295
c[325]=0, mask=4294967295
c[357]=0, mask=4294967295
c[389]=0, mask=4294967295
c[6]=0, mask=4294967295
c[38]=0, mask=4294967295
c[70]=0, mask=4294967295
c[102]=0, mask=4294967295
c[134]=0, mask=4294967295
c[166]=0, mask=4294967295
c[198]=0, mask=4294967295
c[230]=0, mask=4294967295
c[262]=0, mask=4294967295
c[294]=0, mask=4294967295
c[326]=0, mask=4294967295
c[358]=0, mask=4294967295
c[390]=1, mask=4294967295
c[7]=0, mask=4294967295
c[39]=0, mask=4294967295
c[71]=0, mask=4294967295
c[103]=0, mask=4294967295
c[135]=0, mask=4294967295
c[167]=0, mask=4294967295
c[199]=0, mask=4294967295
c[231]=0, mask=4294967295
c[263]=0, mask=4294967295
c[295]=0, mask=4294967295
c[327]=0, mask=4294967295
c[359]=0, mask=4294967295
c[391]=1, mask=4294967295
c[8]=0, mask=4294967295
